date,year_quarter,quarter_number,financial_year,retailer,metric,customer_type,customer_group,jurisdiction,value
2018-01-01,2017-18 Q3,3,2017-18,1st Energy,Number,Electricity,Residential,National,11252
2018-01-01,2017-18 Q3,3,2017-18,AGL,Number,Electricity,Residential,National,1397526
2018-01-01,2017-18 Q3,3,2017-18,ActewAGL,Number,Electricity,Residential,National,181318
2018-01-01,2017-18 Q3,3,2017-18,Alinta Energy,Number,Electricity,Residential,National,171157
2018-01-01,2017-18 Q3,3,2017-18,Aurora Energy,Number,Electricity,Residential,National,240081
2018-01-01,2017-18 Q3,3,2017-18,Australian Power and Gas,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Blue NRG,Number,Electricity,Residential,National,1
2018-01-01,2017-18 Q3,3,2017-18,CovaU,Number,Electricity,Residential,National,3206
2018-01-01,2017-18 Q3,3,2017-18,Diamond Energy,Number,Electricity,Residential,National,10361
2018-01-01,2017-18 Q3,3,2017-18,Discover Energy,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Dodo,Number,Electricity,Residential,National,51351
2018-01-01,2017-18 Q3,3,2017-18,ERM Power,Number,Electricity,Residential,National,3769
2018-01-01,2017-18 Q3,3,2017-18,Energy Locals,Number,Electricity,Residential,National,4343
2018-01-01,2017-18 Q3,3,2017-18,EnergyAustralia,Number,Electricity,Residential,National,1075606
2018-01-01,2017-18 Q3,3,2017-18,Enova Energy,Number,Electricity,Residential,National,3691
2018-01-01,2017-18 Q3,3,2017-18,Enwave Mascot,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Ergon Energy,Number,Electricity,Residential,National,608566
2018-01-01,2017-18 Q3,3,2017-18,Evergy,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Flow Systems,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,GoEnergy,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Locality Planning Energy,Number,Electricity,Residential,National,13249
2018-01-01,2017-18 Q3,3,2017-18,Lumo Energy,Number,Electricity,Residential,National,37546
2018-01-01,2017-18 Q3,3,2017-18,Metered Energy,Number,Electricity,Residential,National,11143
2018-01-01,2017-18 Q3,3,2017-18,Mojo Power,Number,Electricity,Residential,National,4272
2018-01-01,2017-18 Q3,3,2017-18,Momentum Energy,Number,Electricity,Residential,National,10261
2018-01-01,2017-18 Q3,3,2017-18,National Total,Number,Electricity,Residential,National,6261198
2018-01-01,2017-18 Q3,3,2017-18,Next Business Energy,Number,Electricity,Residential,National,149
2018-01-01,2017-18 Q3,3,2017-18,OC Energy,Number,Electricity,Residential,National,3486
2018-01-01,2017-18 Q3,3,2017-18,Origin Energy,Number,Electricity,Residential,National,1874378
2018-01-01,2017-18 Q3,3,2017-18,People Energy,Number,Electricity,Residential,National,598
2018-01-01,2017-18 Q3,3,2017-18,Pooled Energy,Number,Electricity,Residential,National,446
2018-01-01,2017-18 Q3,3,2017-18,Power Club,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,PowerHub,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Powerdirect,Number,Electricity,Residential,National,36826
2018-01-01,2017-18 Q3,3,2017-18,Powershop,Number,Electricity,Residential,National,35284
2018-01-01,2017-18 Q3,3,2017-18,Qenergy,Number,Electricity,Residential,National,3791
2018-01-01,2017-18 Q3,3,2017-18,ReAmped Energy,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Real Utilities,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Red Energy,Number,Electricity,Residential,National,241960
2018-01-01,2017-18 Q3,3,2017-18,Sanctuary Energy,Number,Electricity,Residential,National,3423
2018-01-01,2017-18 Q3,3,2017-18,Savant Energy,Number,Electricity,Residential,National,1748
2018-01-01,2017-18 Q3,3,2017-18,Simply Energy,Number,Electricity,Residential,National,126260
2018-01-01,2017-18 Q3,3,2017-18,Sumo Power,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Sun Retail,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Tango Energy,Number,Electricity,Residential,National,21
2018-01-01,2017-18 Q3,3,2017-18,The Embedded Networks Company,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Urth Energy,Number,Electricity,Residential,National,0
2018-01-01,2017-18 Q3,3,2017-18,Winenergy,Number,Electricity,Residential,National,597
2018-01-01,2017-18 Q3,3,2017-18,amaysim Energy,Number,Electricity,Residential,National,97301
2018-04-01,2017-18 Q4,4,2017-18,1st Energy,Number,Electricity,Residential,National,13118
2018-04-01,2017-18 Q4,4,2017-18,AGL,Number,Electricity,Residential,National,1378777
2018-04-01,2017-18 Q4,4,2017-18,ActewAGL,Number,Electricity,Residential,National,180579
2018-04-01,2017-18 Q4,4,2017-18,Alinta Energy,Number,Electricity,Residential,National,240936
2018-04-01,2017-18 Q4,4,2017-18,Aurora Energy,Number,Electricity,Residential,National,241125
2018-04-01,2017-18 Q4,4,2017-18,Australian Power and Gas,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,Blue NRG,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,CovaU,Number,Electricity,Residential,National,3307
2018-04-01,2017-18 Q4,4,2017-18,Diamond Energy,Number,Electricity,Residential,National,10158
2018-04-01,2017-18 Q4,4,2017-18,Discover Energy,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,Dodo,Number,Electricity,Residential,National,49269
2018-04-01,2017-18 Q4,4,2017-18,ERM Power,Number,Electricity,Residential,National,3738
2018-04-01,2017-18 Q4,4,2017-18,Energy Locals,Number,Electricity,Residential,National,5084
2018-04-01,2017-18 Q4,4,2017-18,EnergyAustralia,Number,Electricity,Residential,National,1062092
2018-04-01,2017-18 Q4,4,2017-18,Enova Energy,Number,Electricity,Residential,National,4144
2018-04-01,2017-18 Q4,4,2017-18,Enwave Mascot,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,Ergon Energy,Number,Electricity,Residential,National,613300
2018-04-01,2017-18 Q4,4,2017-18,Evergy,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,Flow Systems,Number,Electricity,Residential,National,244
2018-04-01,2017-18 Q4,4,2017-18,Future X Power,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,GoEnergy,Number,Electricity,Residential,National,0
2018-04-01,2017-18 Q4,4,2017-18,Locality Planning Energy,Number,Electricity,Residential,National,15120
2018-04-01,2017-18 Q4,4,2017-18,Lumo Energy,Number,Electricity,Residential,National,35082
2018-04-01,2017-18 Q4,4,2017-18,Metered Energy,Number,Electricity,Residential,National,11598
2018-04-01,2017-18 Q4,4,2017-18,Mojo Power,Number,Electricity,Residential,National,3787
2018-04-01,2017-18 Q4,4,2017-18,Momentum Energy,Number,Electricity,Residential,National,9444
2018-04-01,2017-18 Q4,4,2017-18,National Total,Number,Electricity,Residential,National,6303957
2018-04-01,2017-18 Q4,4,2017-18,Next Business Energy,Number,Electricity,Residential,National,141
2018-04-01,2017-18 Q4,4,2017-18,OC Energy,Number,Electricity,Residential,National,4062
2018-04-01,2017-18 Q4,4,2017-18,Origin Energy,Number,Electricity,Residential,National,1869626
2018-04-01,2017-18 Q4,4,2017-18,People Energy,Number,Electricity,Residential,National,569
